id,num_layers,layer1,layer2,layer3,layer4,layer5,lr,batch_size,score
23,2,306,239,149,71,38,0.0009796203011185223,64,0.9285147939107802
28,3,354,206,139,54,27,0.0009310363627353134,64,0.9594541953091198
4,2,381,203,102,51,45,0.0009541412472793497,64,0.9257769433208739
7,2,406,271,182,56,30,0.0009629352904800649,64,0.9286926302604738
25,3,304,250,118,52,48,0.0009959893317224291,64,0.9590669806144869
11,2,412,284,165,56,49,0.0009163698297149974,64,0.9051332825410296
24,2,364,293,165,63,44,0.0009431655547149774,64,0.9336542125473769
19,2,441,232,104,93,27,0.0009083234137803898,64,0.9289286186356918
21,4,374,208,121,60,33,0.0009527380399048013,64,0.9623447800312768
5,3,408,292,103,83,32,0.000976370099513149,64,0.9576626321364681
30,3,445,258,121,99,47,0.000962296281389053,64,0.961543005707667
8,2,490,242,192,95,41,0.000993644058679946,64,0.9290696716546948
13,3,343,264,129,50,49,0.0009199516367462407,64,0.962319974860959
20,5,303,296,196,67,32,0.0009268641733448867,64,0.9577551792421355
12,4,425,293,103,80,26,0.000930852942692773,64,0.9678837347799916
1,3,445,297,108,66,28,0.0009495435087091941,64,0.9698048809306253
29,3,406,272,132,58,25,0.0009560717321028694,64,0.9654838187274281
32,3,426,213,185,74,34,0.0009504107367245853,64,0.9548171577746924
2,5,466,248,200,63,28,0.0009487856656524148,64,0.9648436083775978
31,5,351,244,112,63,43,0.0009674153014246864,64,0.9668901073356656
16,5,314,261,146,86,42,0.0009199839420177142,64,0.9608112987936005
6,3,388,229,186,64,49,0.0009459603465737734,64,0.9626309032966198
9,3,377,236,175,81,41,0.0009393353623069839,64,0.9561961358301357
18,5,453,203,129,90,30,0.000955075626510725,64,0.9692706021700953
17,5,391,253,144,50,42,0.0009540109557088386,64,0.9590608796942691
10,5,362,295,151,76,46,0.000917300740157905,64,0.9662497311906711
14,5,431,244,173,72,39,0.0009909755015889401,64,0.9614389376915453
26,5,439,228,180,94,41,0.0009450845027142732,64,0.9648249854267771
15,5,500,294,165,58,41,0.0009777397182295902,64,0.9646277713901282
27,5,472,273,141,92,45,0.0009426299378713854,64,0.9694174408341907
22,4,465,291,137,79,47,0.0009322001766387326,64,0.9680484363105692
3,5,455,297,198,50,47,0.0009445387194054801,64,0.9678283592705793
36,2,334,221,121,84,31,0.0009268009943955512,64,0.9267384627246577
34,3,386,254,127,67,46,0.0009096405102593459,64,0.9550361609789796
33,4,456,251,136,51,30,0.0009200853011440759,64,0.9633938162215723
39,5,337,216,143,57,44,0.0009587407922609922,64,0.9619054571802089
37,4,394,243,143,57,34,0.0009235189511384217,64,0.957680817324549
46,2,302,300,137,96,44,0.0009320251274480257,64,0.9301098028529142
50,2,371,211,196,78,27,0.000965201053451267,64,0.920508593780137
47,4,402,208,108,70,44,0.000996979650449647,64,0.9691967140874418
38,3,448,270,198,56,35,0.000903913779859691,64,0.9593062556417458
42,4,303,278,185,50,27,0.0009413534433507192,64,0.9565444896332007
51,3,399,239,105,70,30,0.0009316735146885602,64,0.9655266611883695
54,2,305,281,101,68,49,0.0009792184757882291,64,0.9299104676672443
43,3,361,300,175,76,30,0.0009115558180592273,64,0.9452003001373347
40,2,446,270,128,86,27,0.000995224622835758,64,0.9242332175386891
53,3,356,202,131,75,27,0.0009268063817554747,64,0.9572531013594752
44,3,340,295,113,77,37,0.000980648736633557,64,0.9667040841849017
52,3,385,212,169,89,43,0.0009807567697733362,64,0.9576468035252053
41,4,444,268,114,79,33,0.0009107730685077716,64,0.9654924261782413
48,4,355,300,179,99,42,0.0009867613842250331,64,0.9548556190687857
35,4,475,268,162,99,42,0.0009234640434871038,64,0.9567400291461761
55,5,339,212,164,99,50,0.0009328093551673792,64,0.958647035988542
57,3,352,218,169,96,26,0.0009779743450254712,64,0.9624818551889867
49,4,366,223,169,63,34,0.0009199215898263314,64,0.9555482239465056
56,3,498,219,118,70,34,0.000910687773458156,64,0.9528884691883825
64,3,361,240,163,93,40,0.0009956539729424284,64,0.9571632626215142
63,3,424,200,122,83,35,0.0009500899619557226,64,0.9513966618586119
45,4,482,261,140,56,31,0.0009652050199489417,64,0.9681243166175996
58,3,376,255,168,60,26,0.0009714824451968812,64,0.9540488473887432
62,3,335,233,135,75,43,0.0009401082151920901,64,0.9541899232030355
61,2,465,253,173,51,26,0.0009691703419051643,64,0.9213940358894243
59,4,499,208,187,78,50,0.000943017141185157,64,0.962240935791627
66,2,318,297,165,91,36,0.0009159467730757831,64,0.9139680218779235
60,5,437,258,101,75,35,0.0009171517605021366,64,0.9719677701750903
68,2,331,277,165,86,37,0.0009176275895206475,64,0.9303136331527264
67,4,376,288,138,85,36,0.0009165178713957091,64,0.9653024775213023
72,2,413,230,148,77,37,0.0009164754218683273,64,0.9112581888371625
65,4,443,278,193,91,33,0.0009972353768694514,64,0.9652537797288075
70,4,398,265,121,84,48,0.0009994311057334457,64,0.9686180208061227
74,2,469,237,135,65,37,0.0009749576811189757,64,0.9233595299081926
69,5,355,272,192,98,50,0.0009052133221142186,64,0.9667526063303225
73,5,332,279,162,63,28,0.0009431260500853353,64,0.9694155980088265
71,4,460,212,134,97,27,0.000995943883787707,64,0.9623195806616899
75,3,435,256,174,51,25,0.000962752658853748,64,0.9561892127231143
80,2,428,247,173,69,38,0.0009503032488206497,64,0.9325854447227007
76,4,352,222,136,59,42,0.0009200447248467994,64,0.9633437712470359
77,4,474,257,121,84,36,0.0009490809279829014,64,0.9689625021992481
89,2,389,233,190,76,46,0.000954424675780288,64,0.920721632538431
83,5,352,271,100,67,45,0.0009598164198713661,64,0.963648275293523
81,4,300,215,156,95,39,0.0009350212755089992,64,0.9571779399751875
79,2,445,295,101,84,34,0.0009964945328786328,64,0.9311376823014028
78,3,446,249,126,68,50,0.0009108139208734168,64,0.9554649105082753
92,2,402,281,188,67,44,0.0009304403284258316,64,0.9273390416052951
93,3,385,234,108,54,47,0.0009830677590596227,64,0.9630909241031385
85,3,415,279,185,83,31,0.0009359422031985154,64,0.9568135718436228
91,5,317,245,108,92,39,0.0009019741387398084,64,0.9565852870641927
86,5,448,254,151,71,44,0.0009584428027082132,64,0.9611880909535027
84,5,453,266,152,97,47,0.0009987591691222682,64,0.9656416144245017
98,3,318,280,193,60,43,0.0009443576556305834,64,0.9525909574377602
90,5,366,262,121,79,41,0.0009045388059845719,64,0.9590933817463378
101,2,327,229,150,70,40,0.0009928606317192125,64,0.9336989221797867
96,4,456,242,191,64,33,0.0009963788417055833,64,0.9613074179142795
88,3,462,299,150,100,33,0.000984626806660109,64,0.9620058201608273
87,5,490,231,181,91,34,0.0009629675358688655,64,0.9706135760922568
102,2,314,276,102,98,31,0.0009683299377819251,64,0.9454849925567921
97,2,459,251,140,77,49,0.0009248426495383769,64,0.9046145425368626
99,4,417,267,120,58,49,0.0009138097993238793,64,0.9616840279867905
82,4,500,293,187,86,40,0.0009113095370290191,64,0.9672795594798489
100,4,379,296,151,65,28,0.0009718158142314771,64,0.9682882989268989
94,5,430,271,194,53,30,0.0009296876256563269,64,0.9715180538128603
110,2,434,216,105,67,49,0.0009117436717692837,64,0.916349318485448
104,3,402,229,163,78,37,0.0009750612491135281,64,0.9602030385720446
103,5,387,284,135,57,44,0.0009692636938189627,64,0.961467810308621
95,4,456,294,129,75,42,0.0009399715640935025,64,0.9658352235278201
108,2,303,249,118,92,42,0.0009057119686638892,64,0.9248810635141831
105,3,372,259,170,87,37,0.000921190701761616,64,0.9491261300528011
111,3,307,263,181,58,48,0.0009279270803084756,64,0.9568894139808
109,4,333,210,159,91,34,0.0009906084351349186,64,0.9632237625744182
112,5,399,242,180,67,33,0.0009641603333023252,64,0.9663311008622846
106,4,427,275,114,63,27,0.0009046217948313146,64,0.9703657942950245
115,2,482,234,195,89,48,0.0009972361458481912,64,0.9354583430342742
113,3,315,275,200,87,30,0.0009349614742610409,64,0.9560353265888731
107,5,381,249,174,68,31,0.0009399928593338042,64,0.9640848010772429
117,2,463,211,165,80,41,0.0009370253191137925,64,0.9109253325365618
120,2,377,204,149,53,48,0.0009261007117578436,64,0.8865936706467331
118,2,332,268,104,78,46,0.0009128203123028678,64,0.9315565852819886
116,4,345,212,119,53,31,0.0009854568775207564,64,0.9598371676074483
114,4,440,252,168,62,47,0.0009880105231228507,64,0.9633714081427563
123,2,333,283,157,83,42,0.0009719381495147986,64,0.9397165697831321
127,2,338,240,193,70,50,0.0009327564452388212,64,0.9396577020904313
125,5,388,216,173,54,26,0.0009300496137253558,64,0.9642272382402148
129,2,334,206,167,81,43,0.0009853099375907314,64,0.924185522805477
121,4,397,214,186,69,28,0.0009424830361018973,64,0.9651320413983657
124,4,490,220,125,73,37,0.0009521077672572586,64,0.9668487186554398
128,5,371,261,158,73,48,0.000996975214317834,64,0.9669267620392228
122,3,384,243,165,100,37,0.0009956296160040221,64,0.9601216406731313
134,3,366,208,180,86,41,0.000964103219716621,64,0.9485936603270609
126,5,376,240,145,67,35,0.0009748736528668655,64,0.9667724158843153
132,3,364,287,128,86,29,0.0009906806261187505,64,0.9590832763267249
139,2,390,258,100,62,34,0.0009695995529676486,64,0.9170190061933008
136,4,356,225,176,81,32,0.0009425444077344192,64,0.9535872586209634
135,3,464,222,165,77,25,0.0009590359146655386,64,0.9547045709239914
140,2,377,265,195,70,49,0.0009543028739430366,64,0.9151105849420633
130,3,479,273,195,71,36,0.000999060428099568,64,0.9559579478385339
131,5,378,259,176,71,42,0.0009507542097328585,64,0.9664081011340017
138,5,319,251,178,82,50,0.0009578281101469678,64,0.9541592743904432
137,3,423,292,109,66,38,0.0009201363630654513,64,0.9677038954129251
133,5,486,279,106,56,42,0.000968131688435174,64,0.9649183212009913
142,4,333,264,156,87,29,0.0009549994466994026,64,0.9549931337624061
143,4,462,201,154,97,46,0.0009565908514233305,64,0.9661648484852764
145,2,301,249,134,79,33,0.0009795907503228932,64,0.9216608214405156
151,2,364,219,161,99,28,0.0009399129902196379,64,0.92192143516531
152,2,322,254,178,53,42,0.000921827717523639,64,0.9104918374713611
147,3,406,218,102,61,33,0.0009367765947117538,64,0.9595313439506298
157,3,433,232,153,97,42,0.0009288592561102889,64,0.9503817603998121
141,5,438,266,152,88,45,0.0009581059473065729,64,0.9666439969850689
144,5,402,236,184,98,46,0.0009018330714842289,64,0.9613538239163671
150,5,323,208,116,63,29,0.00092292283753318,64,0.9616726225658336
156,5,400,214,177,80,28,0.0009149133521216843,64,0.969037343779435
154,4,475,235,122,80,50,0.0009793282834471488,64,0.9633358749660822
148,4,405,233,165,68,48,0.0009420753819430772,64,0.9583561230067338
146,5,496,243,149,79,50,0.0009116509456066222,64,0.9623618638132924
159,4,314,269,180,78,34,0.0009759855217517857,64,0.9643096372023408
167,2,357,272,125,82,43,0.0009659904553624135,64,0.9331345722815717
153,4,312,283,113,97,42,0.0009679067845788816,64,0.9605490286838608
161,4,349,252,171,90,44,0.0009903495773375568,64,0.9535605887936336
149,5,385,299,162,63,47,0.0009829620990837937,64,0.9607632582608945
155,3,473,282,111,74,28,0.0009668701622242428,64,0.9629363689870531
164,5,436,219,107,82,35,0.0009528481496051754,64,0.9668774217407587
166,4,357,211,181,84,47,0.000905003101053143,64,0.9562072806699993
160,3,430,235,134,95,32,0.0009411643051716215,64,0.9641412443710912
163,3,427,247,176,80,32,0.0009338394971014252,64,0.956011455387962
168,5,383,200,199,51,34,0.0009822208066399205,64,0.9652245457103182
162,3,405,234,135,80,47,0.0009305797049902806,64,0.9513284091611874
165,3,380,279,163,80,35,0.0009118407086491006,64,0.9603012880299231
158,3,494,279,143,81,28,0.0009008561907394052,64,0.9616317251066168
169,2,490,228,135,93,45,0.0009984991944292356,64,0.9252450102247742
173,4,307,210,117,75,36,0.000993370573014059,64,0.9670456007675787
174,2,473,242,135,50,41,0.0009888192104710845,64,0.9323093569685582
172,2,323,292,113,69,35,0.0009248952211956215,64,0.912375528400119
171,3,329,232,198,59,46,0.0009574008204348556,64,0.9548189094073425
183,2,464,216,148,97,42,0.000994229177298257,64,0.9211375611309026
170,4,453,292,166,74,25,0.0009121656360699493,64,0.9598473172338082
179,5,332,251,190,56,48,0.00093734776531836,64,0.9577178786467364
175,4,464,292,116,88,33,0.0009405162983321197,64,0.9698563828429896
177,2,453,265,114,61,32,0.0009215023218819736,64,0.9267004714469218
178,4,439,202,132,84,33,0.0009944833640233772,64,0.9651005983823645
180,2,458,239,157,93,29,0.0009155772775965533,64,0.9137886081314863
186,2,310,214,175,58,41,0.0009508078364753744,64,0.9021506498957044
188,3,327,271,145,60,28,0.0009776854433421632,64,0.9589924334668345
176,5,437,250,138,64,45,0.0009302671444036983,64,0.9633865773275887
184,5,307,299,155,88,46,0.0009422279225856533,64,0.9559326800046309
194,2,363,242,142,92,32,0.00097845237603545,64,0.9216534973083146
193,2,422,226,149,90,30,0.000939724458542907,64,0.8838861496964361
182,5,403,215,176,59,33,0.0009295292427144046,64,0.9600119360199173
190,5,406,248,145,68,49,0.0009816135550597578,64,0.9698748768632084
197,3,338,201,148,76,28,0.0009799009144501566,64,0.9490913831889802
181,3,423,298,142,73,34,0.0009159767792788182,64,0.9705235181297811
187,4,500,272,183,72,50,0.0009473913943914387,64,0.960212938129228
185,5,403,277,159,53,28,0.000947076386793807,64,0.9636232677963039
196,5,412,251,169,57,43,0.0009488277702978037,64,0.9640586307273711
189,5,486,244,132,92,45,0.0009995789594191035,64,0.9685150480946725
199,3,339,267,113,66,25,0.0009464431281362083,64,0.9651946305665975
198,3,417,298,148,92,41,0.000979787097733425,64,0.9555616427884362
192,3,439,282,180,81,35,0.0009757475120651921,64,0.9461325150128805
191,3,462,278,166,59,26,0.0009341497180409992,64,0.9572921439348521
200,5,301,269,131,77,30,0.0009662268505834436,64,0.961817144056479
195,5,394,263,183,99,46,0.0009723249807482727,64,0.9675949509808334
